Score,W0,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51,W52,W53,W54,W55,W56,W57,W58,W59,W60,W61,W62,W63,W64,W65,W66,W67,W68,W69,W70,W71,W72,W73,W74,W75,W76,W77,W78,W79,W80,W81,W82,W83,W84,W85,W86,W87,W88,W89,W90,W91,W92,W93,W94,W95,W96,W97,W98,W99,W100,W101,W102,W103,W104,W105,W106,W107,W108,W109,W110,W111,W112,W113,W114,W115,W116,W117,W118,W119,W120,W121,W122,W123
-1,-0.194944541,-0.598080603,-1.642190901,1.280183275,-0.585486755,-0.730174209,-1.690743561,1.269807669,1.499879552,-0.962638482,0.140888054,-0.714464243,1.856610369,-1.82576381,1.76686998,0.600829307,-0.135222285,-1.453990995,1.158172886,-1.440490744,0.565455734,-0.565467006,-1.328469346,-0.344039742,-0.155829633,0.784683888,-1.114859288,1.702938318,0.893866754,1.840962316,-0.374900555,-0.701399872,1.662677542,0.217853149,-1.756804676,1.073141973,-0.643646407,1.395761465,-0.630192888,-0.735171424,0.559340965,1.244666614,1.702420869,-1.433291515,-0.740030247,-1.867637339,-1.797773791,1.365369256,-1.287603684,0.872839098,1.5587634,-0.500260497,-0.641106482,1.006198074,-0.926475138,1.099140562,1.908345424,-1.011414113,1.038455694,-1.175840776,1.259532074,0.09984938,1.763358539,-1.207025639,-0.665365962,1.839963399,1.350468157,1.038238044,1.458464519,-0.265379375,-0.932376655,0.121003878,1.362775077,-0.824886386,1.643673295,1.908687989,-0.663228651,-1.741621185,0.390824112,-1.836133816,1.26951109,-1.709481626,-0.125392267,0.991566854,-0.796960715,1.37409496,-0.287040232,-1.933883981,-1.772908298,-1.556952112,-1.189494498,0.700179176,1.751278115,-1.072253098,-1.554750026,1.458026628,1.816180024,-1.681829216,-0.56625503,0.249680621,-0.559615255,-0.489828451,0.618165809,0.601504409,1.249075254,1.379681529,-0.032243106,0.674405704,0.559210464,1.36844003,-1.94511754,1.4131536,1.209075772,1.074654699,-1.393058514,0.925928756,0.38342102,-1.540790068,0.826940214,-1.425486826,0.762621331,1.086467319,0.713251407,-0.706219718
-1,-1.867612651,1.991935221,-0.029101703,1.146662656,1.138440151,-0.00639217,-1.291765711,1.010047988,0.086427663,0.069559933,1.068821911,0.636090093,1.57634502,1.955285583,-0.145024019,1.355458005,-1.636652304,-1.728836554,-0.489789912,1.94638732,1.235111518,1.649621762,1.444847628,-1.139118487,-1.468285264,-1.406076849,0.750458908,-1.8908745,1.570477495,-0.628370552,1.901682804,-0.126097952,-1.022907857,-0.804361505,0.123121833,-0.865222096,-0.745997998,-1.249905428,0.42034346,1.868609729,-0.972056783,-0.513744157,1.150232254,-1.986753119,-1.784084947,0.286309939,-0.528307205,1.266408757,0.962884874,0.56701361,1.358230909,-0.853761493,1.204179748,-1.246709356,-1.755848898,-1.003956177,-1.261702962,-0.821248922,0.164745154,-0.816113485,-1.334936696,1.547518472,0.382531513,-0.07743698,1.179385796,-1.00343915,-0.02832597,0.320424989,-0.023608137,0.002064615,0.629190697,1.398379308,-0.816698456,-1.946554891,-1.826592614,1.045013156,-0.725495021,-0.177774967,1.391444457,-1.807886705,0.55487994,-1.059077525,-0.476637236,-0.303052469,-1.858405891,0.643453192,-1.306355179,1.440367002,1.144117827,1.081989129,-0.297072948,-0.192736832,0.90140768,1.257722094,-0.631347245,1.662457132,1.89270755,0.031701347,1.150779661,-0.244251345,1.423649206,-1.108870977,-0.35497419,0.130485761,0.614824481,-1.577348624,-0.209551839,-0.584365143,-1.979567687,0.167690394,0.147925841,0.027667807,-0.552492139,-0.815507127,-0.669112548,0.449891421,1.809268703,-0.480326155,-1.294178195,0.954349746,-0.966726291,-0.068076271,-0.477159683,-0.403588892
-1,1.839525547,-1.754554329,-0.900987466,0.086695114,-1.654529844,-0.490220378,-0.983142669,-1.139987974,-1.28611123,0.013874241,-0.338367076,-0.030506408,-0.18210807,0.415815891,1.611555582,-1.359086225,-1.715811549,-0.926316026,1.057584771,1.637026761,1.459475563,-0.483335458,1.721033561,1.022521321,0.280829345,0.654139434,1.461741191,1.877218214,1.834017069,-0.293124183,0.408252407,-0.260453025,0.634002333,1.33702112,0.154402005,1.242046943,1.405603084,-0.971167312,-0.627852558,0.550187171,0.062003709,0.970803199,0.844246146,-0.348941637,1.135842912,1.813733482,0.158191551,-0.075805869,1.46067871,-1.602795035,1.307385942,0.143172778,-1.175132307,-1.351289284,-1.329308424,0.976297755,0.459510492,1.30574586,1.457297638,-1.215387391,-1.257501625,-1.927836088,-1.72166227,1.078727107,-1.025089775,1.622476581,0.738726591,-0.372740008,0.583059304,0.117023993,0.409370539,-1.951673893,0.350096062,0.252432507,-1.373558286,-0.918493058,0.475612579,-1.115627217,-1.329554623,1.676323366,-1.600846124,-0.495849671,1.106236673,0.859959991,-0.013568968,1.267328067,-1.29591458,0.225264628,0.40498545,-0.440529947,1.577552998,-1.902836168,-1.08382369,1.388246617,-1.150964827,0.145395308,0.802521625,-0.083513133,0.08375504,-1.99561561,-1.692793401,1.786203485,-0.163713534,0.964278586,-1.300271788,-1.018332733,0.078022295,0.051285942,-1.756338814,0.96634008,-0.777220551,-1.828838552,-0.364125637,-1.630487935,-1.320078829,1.511320515,-0.256367586,-1.634530732,1.614952519,-0.459954511,1.925268897,0.590196092,-1.904120643,1.715691164
-1,-0.295843923,-1.13910037,-1.120367465,-0.531890848,-1.694018102,0.526325565,-0.183278918,1.908294297,1.690537675,0.86734709,1.831679594,0.514884497,1.487839821,-1.411944748,-0.739011125,0.380519112,0.763791599,1.122195488,0.270081529,-1.30957648,-0.295129748,1.615318222,0.242228929,1.288560922,-0.341582318,1.180079077,-0.621442279,-1.999733711,1.283238626,1.707750107,-0.381150029,0.967032734,-0.256085013,1.844885689,1.720817627,-0.435941596,0.754760066,-1.234364524,0.509447258,0.895611322,1.94772146,0.764815728,-1.459723289,-1.70980489,-1.630556031,1.277688477,1.6965227,0.762184458,0.480998107,0.594576541,-1.849172022,1.22593343,-0.392616695,0.017644666,0.958417223,-0.26344423,-0.758812017,0.294813803,-1.690346225,0.541361186,-0.310507,-0.207933005,-1.56580981,-1.88077667,-0.486786127,-1.530839338,0.223151241,1.716735931,-0.745818967,0.892117981,-1.10310283,0.442032924,-0.253478397,-1.002401751,-1.645038322,0.262409952,0.38553897,0.068549518,-1.839205631,-1.708161066,1.524792208,1.174298987,-1.181668188,-0.6242961,-0.517184448,0.441822468,1.151134508,-0.880621839,0.669714647,1.163653161,-1.210020143,-0.221890793,1.02142507,0.257645189,1.29271757,-1.514154847,0.707130403,-0.582765771,-1.483295508,-0.733008638,0.721263763,-1.347679868,0.242553412,0.673790641,-0.422533605,-0.346746177,-1.211756975,1.082841431,-1.129826909,-0.389588145,-1.616777732,1.389421971,0.256407501,1.727783623,1.326089738,-0.044881871,-1.878303,-1.940698428,1.084244743,-1.692354713,-0.783847334,1.301356965,-1.035655536,1.486069814
-1,1.239852326,0.450285284,-0.241304827,-1.069435039,-0.529543402,0.593768811,-0.528186077,-0.065170444,0.785119591,-1.196461526,-1.333386746,-0.994688255,-1.87778697,-1.270181376,-1.603955591,1.322526479,0.180932139,0.269516054,1.245595881,1.011193819,-1.114802156,-0.436082407,-1.811935565,1.950856382,0.514171316,-0.057376174,-0.327087106,1.57239673,0.338675328,-0.442071391,-0.024431331,-1.673272326,-0.663419681,-0.406557907,0.155376575,1.266511272,-1.964641,-0.142010156,-1.662720543,0.938517437,1.700477401,-1.949256308,-1.928311595,1.747944426,1.85900588,0.808453142,-0.125003686,-1.16156897,-1.496104787,0.933817536,-1.469289713,-1.360102214,-1.166746096,-1.490340856,0.716785376,0.301972449,1.437279075,-1.362864429,-0.950937737,-1.435310406,0.83240911,-1.482645874,1.097708477,-1.859133259,-0.841024609,-1.855792179,-1.676866137,0.44022036,0.439934111,-1.856203984,-0.731709809,0.152406934,-0.357715828,0.598762481,0.144480973,-1.751799274,-0.840397723,1.36117069,1.338971896,1.905372007,0.376977383,-0.519742558,-0.311247351,-0.927895464,-1.065920849,0.215792336,-0.646510211,-0.578027208,1.752750767,0.142397891,1.497537736,1.578029607,-1.842648085,0.050768776,1.741785727,-1.679330836,1.490067935,0.642530219,-0.952606103,-1.158355977,-1.577564358,-0.038841571,1.929784219,1.316451141,0.537994275,-0.125747182,-0.403973234,-1.488418167,-1.202470784,-0.907136062,0.908702519,1.066266228,0.252613479,-0.694672168,-1.968559236,1.704142791,1.038796747,0.934513198,-1.144379286,-1.771505262,-0.478819977,0.842903057,-1.952891483,0.236986153
-1,1.985135313,-1.891413354,-1.446306415,-1.292957701,0.356557716,-0.652010845,0.669617728,-1.702942542,1.293876306,-0.58378261,-0.11500035,-0.819591512,1.257687125,-1.457833795,-0.207369807,-1.567662648,-0.633795413,1.418420978,-0.438336208,0.514937149,-0.206941689,-1.369586209,1.488999195,0.432905958,0.372990831,-1.671334968,0.976153296,0.73978893,0.717297512,0.990675539,-0.174449273,0.788106571,-0.489807475,-1.385945138,-1.835802051,0.106804569,1.585213405,1.39220369,0.12975387,-1.861998357,-0.009557793,-1.888571016,-1.455206252,1.188827636,1.19686012,0.280605356,-1.115237723,-1.60004349,-1.367796864,1.97424898,-0.535591476,-1.529231402,0.861041831,-1.814684002,1.707108886,0.515015921,-1.825343548,-1.114839493,-0.281674352,-0.763229417,-0.020245105,0.11739139,-1.917556385,-0.24008825,-0.255755097,-1.589682081,-1.150104129,-0.988186282,-0.021177636,1.066065984,1.412304225,0.154132679,-1.193961661,-0.083504512,1.431910584,-1.165966038,-1.219424194,1.657295074,0.745692192,1.090850548,-0.453222505,1.537635334,0.659418056,0.387773973,-1.976807492,-0.939126492,-1.105907849,0.428322374,-1.507908142,0.83094033,-1.610498652,-0.025765079,-0.407292343,1.465597063,-1.590396576,-1.09851413,-0.637838945,-0.879319897,0.497956491,0.991817309,1.309473025,-1.294576707,-1.166637075,1.979860894,1.038134017,-0.295018013,-0.802361669,0.49779519,-0.483755427,0.623735088,-1.464791179,1.257162351,0.121113807,1.8691652,-0.956231768,-1.757363127,-0.632387008,-0.503153139,0.543429368,-0.356371225,-1.357350825,-1.618368855,-1.198751303,-1.170595011
-1,-1.812400234,0.120942359,0.641617673,1.568574098,-1.39893229,0.885632703,0.700985142,0.69008592,-0.838561446,1.847056065,1.817269313,1.22397979,-1.612757864,0.915887806,1.011752639,-1.927654627,1.422778716,-0.718250948,0.427887868,-0.059326429,-0.840625523,-0.143587113,1.613342396,-1.690673736,1.219415237,1.222088653,-1.678703936,-1.604527484,0.410191658,1.025763759,1.583665795,-0.148187646,-0.459495844,1.443377772,-0.698125681,-0.630740644,-0.047438998,1.518542813,1.081304439,-1.362216871,0.418036583,-0.251295378,1.56973908,1.434571613,0.919136767,1.766351975,-1.173896383,-0.503763021,-1.569714997,-1.807367495,-0.391585088,1.804950319,1.704171856,-1.719915188,0.949582928,-1.498546548,0.670243527,-0.509287143,-1.088822603,-0.209891279,-0.946326777,-0.280691273,1.62392483,1.04915325,1.967260704,-0.324854164,-1.393915346,1.111755371,0.209543902,-1.332166298,1.849598339,-0.603989707,0.805249804,-0.668465161,-0.786741093,1.066342953,-1.94738492,1.273449086,1.650461897,0.633456646,-0.459563459,-1.865544683,-0.800783361,0.333605638,0.25971379,-1.239063382,-1.566662194,-1.06935993,0.01392078,1.899576304,0.707078344,-1.968573712,-0.129471427,-0.208415406,0.300180263,0.829717443,-1.802460339,-1.327284948,1.325434928,1.455116106,-1.330399923,-1.018096836,-1.709895676,-0.857361471,0.625457805,-1.921080537,1.377529369,0.701986317,0.934079607,-1.877503592,-1.782237854,-0.18967045,-0.425479746,1.075369295,0.860935257,-0.138116002,-1.143857714,1.831022293,-0.627623161,0.573541371,1.279327592,1.477629916,-1.985034365,-1.083893203
-1,-0.613875465,-1.963189479,1.222691065,1.86302253,1.677639485,-0.382251728,-1.668421315,0.062674002,1.471989724,0.243303888,1.937073163,0.38620826,-0.865427714,1.518789555,1.562062815,-0.704993261,0.121945457,-1.287119231,1.146818229,1.015408886,1.921871208,0.419325074,1.201325144,-1.509873549,1.276726526,-1.126677866,0.143940168,-1.176417298,0.521939446,1.272863055,0.089452562,0.668759284,0.630953385,-0.18503215,-0.811650553,-1.801307399,-0.693163306,-0.228591326,-0.048544349,-1.565923607,0.780662631,1.269630112,-0.557287472,1.172156901,-1.909222399,0.513549966,-1.38287088,-0.769772451,-0.721828855,-1.297682374,-0.887466085,-1.390769343,1.735250164,-1.544704215,1.840190249,-1.388591059,-1.575417183,0.126290688,0.032301093,-0.565118244,-0.679103399,1.413432152,1.807206483,1.973346653,-0.720919279,1.34797842,-0.653248441,-1.085317238,1.216764103,-1.639454466,1.178986422,-1.006615585,1.320385043,-0.925092296,-1.574544175,0.422460211,1.438614663,1.22667948,-0.763167956,0.955290287,-1.754130891,-1.780514281,-1.537973477,0.409471024,-0.800777154,1.832782028,-1.407527145,0.836262428,-1.266126592,-1.875246548,0.255431595,1.192937565,-0.926856484,-1.73991054,-0.837083535,-1.813715118,1.37646965,1.372181844,1.07845672,0.10698795,1.047551919,1.650724065,-1.685083317,-1.699806354,0.231466308,-1.378728495,0.212490799,-0.282187401,0.216372735,-1.103337588,1.429203676,-1.824777666,1.153186558,0.209535927,1.038228282,-1.235619698,-0.842880652,-0.779252008,0.748907394,-1.766841251,1.788620372,-0.863399577,-1.07354874,0.556316856
-1,-0.907408894,-0.668263861,0.355201591,-0.103536659,0.90311853,0.778589181,-0.30279611,0.587846804,1.889213755,1.896433901,-0.789882016,-1.419510376,0.405303586,1.059858997,-0.382041012,-0.312207693,-1.085263741,-1.837002721,1.454341992,-0.421003685,0.219179948,-0.618566136,-0.297857993,-1.379348117,0.523106367,1.971456939,1.321077068,-1.169742886,-0.59295191,-1.466145888,-1.38109899,1.590898071,1.892075665,-0.938583217,-0.676446877,0.308040065,-0.6732169,1.03289068,-1.700590986,0.202872216,-0.256314051,-1.514041133,0.96580149,-0.547593065,0.699582296,-1.422144588,-1.403688065,0.47231222,-0.703792305,0.272245635,-1.759094466,0.140929803,0.571597194,0.451156746,1.095382221,-0.402755844,-0.362254229,-1.404396241,-1.297152092,0.23550264,0.535307881,-0.347928606,0.024279267,-1.117630433,-1.017357386,-0.518907174,-0.58285154,-1.375111186,1.060724042,0.890499763,-0.684934781,1.875244244,-0.11846262,0.94013478,1.324097677,-1.676118753,1.41354304,-1.591739467,-1.326762071,1.596468386,1.948788745,0.146331868,-1.520836543,1.839133612,0.542997794,0.306468658,-1.716357497,-1.948478952,-0.685046697,1.046543407,-0.886482202,1.396483131,-0.614747075,-0.77349295,1.656358319,-0.332653087,1.743883081,1.566093872,-1.2669494,-1.779847584,1.076981389,1.913159765,1.480349104,0.726693264,0.20767366,-0.208082533,0.269741731,-0.929643634,-0.162164494,-0.039712334,0.633930383,0.504191236,-0.883543168,0.642475498,-0.103106497,-0.139690635,0.936131877,1.920407985,-0.642090702,0.440134184,0.306104298,0.752696557,-1.318095509,1.433072701
-1,0.560629323,-0.130731482,0.137883577,0.800234537,-1.6808153,-0.269307771,-1.500871144,0.627037202,0.563711556,1.216471782,-0.306476376,-0.310473764,0.745037316,-0.443656983,1.407731779,1.584400721,-1.203211789,-1.174638719,-1.109857821,0.175636299,1.637058963,-0.168912717,-1.164846484,-1.163543639,-0.29355379,-0.172770533,-0.157440368,0.452214066,-0.324846455,-1.961525449,1.713676827,0.557690231,-0.76687186,1.260041808,0.627975046,-1.832605347,-1.090437525,0.095069483,-0.753608555,-0.180922022,0.856924066,-1.449480277,-0.144717053,-0.702255074,-0.26994244,0.634593978,0.917391274,-0.172024391,1.751661285,-1.97442276,-1.14748002,-0.78982028,1.866533341,-1.650571675,-1.833283376,0.919989115,1.978660804,1.175356629,-0.422790196,-0.109815172,0.27635314,1.736567469,1.979430917,0.831005331,-1.009411287,-1.939429998,-0.277925601,-1.2404028,1.181666204,-0.770318244,0.950287921,1.952029617,1.777205142,1.180667382,-1.168930208,1.591248525,-1.812739188,-0.051116962,-1.27169436,1.996352377,0.045144707,1.801215819,1.934980951,-0.110027554,0.134007547,-1.177223837,-1.186950094,-1.356178365,1.763314739,0.205792368,0.376098459,0.67771089,-0.246168444,-0.853330941,-0.171139262,0.735935124,-1.955846386,1.420750947,0.898357951,1.314240113,1.967644847,-1.952283212,1.272976293,-0.078927649,1.81603463,1.045881369,1.065859008,1.89876007,-0.171358009,1.813904615,1.143468784,-0.015112442,1.433060164,1.377701926,0.14657993,-1.581737703,-1.702130997,1.967756553,-1.844196373,-1.903097488,1.657503632,-1.731714122,-1.053705044,-1.662088934
